Experiment, Requests, Time

Nuxt 2 - 250, 50, 3.924s 
Nuxt 2 - 250, 100, 7.617s 
Nuxt 2 - 250, 200, 14.130s 
Nuxt 2 - 500, 50, 7.645s 
Nuxt 2 - 500, 100, 13.726s 
Nuxt 2 - 500, 200, 25.222s 
Nuxt 2 - 1000, 50, 10.762s 
Nuxt 2 - 1000, 100, 20.747s 
Nuxt 2 - 1000, 200, 44.370s 
Nuxt 3 - 250, 50, 3.171s 
Nuxt 3 - 250, 100, 7.343s 
Nuxt 3 - 250, 200, 12.534s 
Nuxt 3 - 500, 50, 5.459s 
Nuxt 3 - 500, 100, 9.738s 
Nuxt 3 - 500, 200, 19.499s 
Nuxt 3 - 1000, 50, 10.425s 
Nuxt 3 - 1000, 100, 14.189s 
Nuxt 3 - 1000, 200, 27.327s 
